"","Ov_coeff","Ov_ic","Pred_sp","Prey_sp","Pred_family","Prey_family","Pred_genus","Prey_genus","mass_ratio","Pred_mass","Predmass_cat","P_hunt","Prey_mass","Preymass_cat","Pred_diet","Prey_diet","Lon","Lat","Lat_abs","Continent","Country","Locality","Label","Samp_dur","N_statioins","Effort","Avg_dist","S_area","Pred_evidence","Hunt_source"
"280",0.08,"0.01-0.21","Nasua nasua","Dasypus novemcinctus","Procyonidae","Dasypodidae","Nasua","Dasypus",0.0128294465319297,4000,"Small-Medium","pursuit",3949.01,"Small-Medium","Omnivore","Insectivore",-75.4,5.0167,5.0167,"South America","Colombia","CHEC_EU","Ramirez-Mejia_2016",5,4,752,"0.025",NA,"No","Hirsch, B. T. (2009). Seasonal variation in the diet of ring-tailed coatis (Nasua nasua) in Iguazu, Argentina. Journal of Mammalogy, 90(1), 136-143."
"281",0.85,"0.67-0.95","Nasuella olivacea","Dasypus novemcinctus","Procyonidae","Dasypodidae","Nasuella","Dasypus",-1.08080276333955,1339.99,"Small","pursuit",3949.01,"Small-Medium","Omnivore","Insectivore",-75.4,5.0167,5.0167,"South America","Colombia","CHEC_AF","Ramirez-Mejia_2016",5,4,752,"0.025",NA,"No","Balaguera-Reina, S. A., Cepeda, A., Z<e1>rrate-Charry, D., & Gonz<e1>lez-Maya, J. F. (2009). The state of knowledge of Western Mountain Coati Nasuella olivacea in Colombia, and extent of occurrence in the Northern Andes. Small carnivore conservation, 41, 35-40."
"282",0.68,"0.44-0.86","Nasuella olivacea","Dasypus novemcinctus","Procyonidae","Dasypodidae","Nasuella","Dasypus",-1.08080276333955,1339.99,"Small","pursuit",3949.01,"Small-Medium","Omnivore","Insectivore",-75.4,5.0167,5.0167,"South America","Colombia","CHEC_EU","Ramirez-Mejia_2016",5,4,752,"0.025",NA,"No","Balaguera-Reina, S. A., Cepeda, A., Z<e1>rrate-Charry, D., & Gonz<e1>lez-Maya, J. F. (2009). The state of knowledge of Western Mountain Coati Nasuella olivacea in Colombia, and extent of occurrence in the Northern Andes. Small carnivore conservation, 41, 35-40."
"283",0.69,"0.58-0.84","Neofelis diardi","Muntiacus muntjak","Felidae","Cervidae","Neofelis","Muntiacus",0.244958101169944,22500,"Large","ambush",17611.59,"Large","Carnivore","Herbivore",101.613922,-1.686158,1.686158,"Asia","Indonesia","KSNP_Bungo","Haidir_2018",5,76,8399,"0.777",63.9,"Yes","Chiang, P. J., & Allen, M. L. (2017). A Review of our Current Knowledge of Clouded Leopards (Neofelis nebulosa). Int J Avian & Wildlife Biol, 2(5), 00032."
"284",0.54,"0.37-0.72","Neofelis diardi","Muntiacus muntjak","Felidae","Cervidae","Neofelis","Muntiacus",0.244958101169944,22500,"Large","ambush",17611.59,"Large","Carnivore","Herbivore",101.78009,-2.290039,2.290039,"Asia","Indonesia","KSNP_Sipurak","Haidir_2018",5,76,7053,"0.814",800,"Yes","Chiang, P. J., & Allen, M. L. (2017). A Review of our Current Knowledge of Clouded Leopards (Neofelis nebulosa). Int J Avian & Wildlife Biol, 2(5), 00032."
"285",0.69,"0.57-0.82","Neofelis diardi","Muntiacus muntjak","Felidae","Cervidae","Neofelis","Muntiacus",0.244958101169944,22500,"Large","ambush",17611.59,"Large","Carnivore","Herbivore",101.315918,-2.226917,2.226917,"Asia","Indonesia","KSNP_RKE","Haidir_2018",5,65,6674,"1.027",1190,"Yes","Chiang, P. J., & Allen, M. L. (2017). A Review of our Current Knowledge of Clouded Leopards (Neofelis nebulosa). Int J Avian & Wildlife Biol, 2(5), 00032."
"286",0.61,"0.50-0.70","Neofelis diardi","Muntiacus muntjak","Felidae","Cervidae","Neofelis","Muntiacus",0.244958101169944,22500,"Large","ambush",17611.59,"Large","Carnivore","Herbivore",101.719666,-2.940298,2.940298,"Asia","Indonesia","KSNP_Ipuh","Haidir_2018",4,75,6278,"0.793",430,"Yes","Chiang, P. J., & Allen, M. L. (2017). A Review of our Current Knowledge of Clouded Leopards (Neofelis nebulosa). Int J Avian & Wildlife Biol, 2(5), 00032."
"287",0.47,"0.32-0.61","Neofelis diardi","Macaca nemestrina","Felidae","Cercopithecidae","Neofelis","Macaca",1.08492110873841,22500,"Large","ambush",7603.39,"Medium-Large","Carnivore","Herbivore",101.613922,-1.686158,1.686158,"Asia","Indonesia","KSNP_Bungo","Haidir_2018",5,76,8399,"0.777",63.9,"Yes","Chiang, P. J., & Allen, M. L. (2017). A Review of our Current Knowledge of Clouded Leopards (Neofelis nebulosa). Int J Avian & Wildlife Biol, 2(5), 00032."
"288",0.24,"0.03-0.35","Neofelis diardi","Macaca nemestrina","Felidae","Cercopithecidae","Neofelis","Macaca",1.08492110873841,22500,"Large","ambush",7603.39,"Medium-Large","Carnivore","Herbivore",101.78009,-2.290039,2.290039,"Asia","Indonesia","KSNP_Sipurak","Haidir_2018",5,76,7053,"0.814",800,"Yes","Chiang, P. J., & Allen, M. L. (2017). A Review of our Current Knowledge of Clouded Leopards (Neofelis nebulosa). Int J Avian & Wildlife Biol, 2(5), 00032."
"289",0.49,"0.34-0.58","Neofelis diardi","Macaca nemestrina","Felidae","Cercopithecidae","Neofelis","Macaca",1.08492110873841,22500,"Large","ambush",7603.39,"Medium-Large","Carnivore","Herbivore",101.315918,-2.226917,2.226917,"Asia","Indonesia","KSNP_RKE","Haidir_2018",5,65,6674,"1.027",1190,"Yes","Chiang, P. J., & Allen, M. L. (2017). A Review of our Current Knowledge of Clouded Leopards (Neofelis nebulosa). Int J Avian & Wildlife Biol, 2(5), 00032."
"290",0.33,"0.20-0.38","Neofelis diardi","Macaca nemestrina","Felidae","Cercopithecidae","Neofelis","Macaca",1.08492110873841,22500,"Large","ambush",7603.39,"Medium-Large","Carnivore","Herbivore",101.719666,-2.940298,2.940298,"Asia","Indonesia","KSNP_Ipuh","Haidir_2018",4,75,6278,"0.793",430,"Yes","Chiang, P. J., & Allen, M. L. (2017). A Review of our Current Knowledge of Clouded Leopards (Neofelis nebulosa). Int J Avian & Wildlife Biol, 2(5), 00032."
"291",0.57,"0.42-0.71","Neofelis diardi","Hystrix brachyura","Felidae","Hystricidae","Neofelis","Hystrix",1.03407376753054,22500,"Large","ambush",8000,"Medium-Large","Carnivore","Herbivore",101.613922,-1.686158,1.686158,"Asia","Indonesia","KSNP_Bungo","Haidir_2018",5,76,8399,"0.777",63.9,"Yes","Chiang, P. J., & Allen, M. L. (2017). A Review of our Current Knowledge of Clouded Leopards (Neofelis nebulosa). Int J Avian & Wildlife Biol, 2(5), 00032."
"292",0.62,"0.46-0.80","Neofelis diardi","Hystrix brachyura","Felidae","Hystricidae","Neofelis","Hystrix",1.03407376753054,22500,"Large","ambush",8000,"Medium-Large","Carnivore","Herbivore",101.78009,-2.290039,2.290039,"Asia","Indonesia","KSNP_Sipurak","Haidir_2018",5,76,7053,"0.814",800,"Yes","Chiang, P. J., & Allen, M. L. (2017). A Review of our Current Knowledge of Clouded Leopards (Neofelis nebulosa). Int J Avian & Wildlife Biol, 2(5), 00032."
"293",0.48,"0.36-0.61","Neofelis diardi","Hystrix brachyura","Felidae","Hystricidae","Neofelis","Hystrix",1.03407376753054,22500,"Large","ambush",8000,"Medium-Large","Carnivore","Herbivore",101.315918,-2.226917,2.226917,"Asia","Indonesia","KSNP_RKE","Haidir_2018",5,65,6674,"1.027",1190,"Yes","Chiang, P. J., & Allen, M. L. (2017). A Review of our Current Knowledge of Clouded Leopards (Neofelis nebulosa). Int J Avian & Wildlife Biol, 2(5), 00032."
