;SIF;SIF_ic;D_competitor;S_competitor;D_family;S_family;D_genus;S_genus;p_distance;mass_ratio;D_mass;S_mass;D_diet;S_diet;diet_dist;Lon;Lat;Lat_abs;Continent;Country;Locality;Label;Samp_dur;N_statioins;Effort;Avg_dist;S_area
101;1.08;0.11;Canis latrans;Urocyon cinereoargenteus;Canidae;Canidae;Canis;Urocyon;0.14226082;0.9625953;11050;4220;Omnivore;Omnivore;Same_diet;-88.9352;37.475;37.475;Central/North America;United States;SoutherIllinois_Local;Lesmeister_2015;0.69;717;29988;0.25;16058
102;1.06;0.21;Lynx rufus;Urocyon cinereoargenteus;Felidae;Canidae;Lynx;Urocyon;0.18894577;0.800874561;9400;4220;Carnivore;Omnivore;Diff_diet;-88.9352;37.475;37.475;Central/North America;United States;SoutherIllinois_Local;Lesmeister_2015;0.69;717;29988;0.25;16058
103;1.97;0.5;Vulpes vulpes;Urocyon cinereoargenteus;Canidae;Canidae;Vulpes;Urocyon;0.14454992;0.585717649;7580.3;4220;Carnivore;Omnivore;Diff_diet;-88.9352;37.475;37.475;Central/North America;United States;SoutherIllinois_Local;Lesmeister_2015;0.69;717;29988;0.25;16058
104;1.4;0.15;Canis latrans;Vulpes vulpes;Canidae;Canidae;Canis;Vulpes;0.13633609;0.376877651;11050;7580.3;Omnivore;Carnivore;Diff_diet;-88.9352;37.475;37.475;Central/North America;United States;SoutherIllinois_Local;Lesmeister_2015;0.69;717;29988;0.25;16058
105;1.14;0.3;Lynx rufus;Vulpes vulpes;Felidae;Canidae;Lynx;Vulpes;0.18086368;0.215156913;9400;7580.3;Carnivore;Carnivore;Same_diet;-88.9352;37.475;37.475;Central/North America;United States;SoutherIllinois_Local;Lesmeister_2015;0.69;717;29988;0.25;16058
106;1;NA;Puma concolor;Lynx rufus;Felidae;Felidae;Puma;Lynx;0.08207649;1.630491322;48000;9400;Carnivore;Carnivore;Same_diet;-107.1804;38.874;38.874;Central/North America;United States;CL_FR;Lewis_2015;2.99;40;NA;2;160
107;1;NA;Puma concolor;Lynx rufus;Felidae;Felidae;Puma;Lynx;0.08207649;1.630491322;48000;9400;Carnivore;Carnivore;Same_diet;-107.1804;38.874;38.874;Central/North America;United States;CL_WS;Lewis_2015;3.74;40;NA;2;160
108;1;1;Panthera tigris;Panthera pardus;Felidae;Felidae;Panthera;Panthera;0.083369853;0.8865549;128800;53074.995;Carnivore;Carnivore;Same_diet;130.74354;42.97547;42.97547;Asia;China;CM_free;Li_2019;6;250;65632;2.36;5000
109;1;1;Panthera tigris;Panthera pardus;Felidae;Felidae;Panthera;Panthera;0.083369853;0.8865549;128800;53074.995;Carnivore;Carnivore;Same_diet;130.74354;42.97547;42.97547;Asia;China;CM_Snow;Li_2019;6;250;49222;2.36;5000
110;1.15;0.02;Civettictis civetta;Caracal aurata;Viverridae;Felidae;Civettictis;Caracal;NA;0.24940013;13666.67;10650;Omnivore;Carnivore;Diff_diet;30.387497;0.553477;0.553477;Africa;Uganda;Kibale National Park;Mills_2019;2;49;9738;0.7;NA
111;1.09;0.02;Caracal aurata;Genetta maculata;Felidae;Viverridae;Caracal;Genetta;NA;1.565802977;10650;2225;Carnivore;Carnivore;Same_diet;30.387497;0.553477;0.553477;Africa;Uganda;Kibale National Park;Mills_2019;2;49;9738;0.7;NA
112;0.97;0.1;Caracal aurata;Genetta servalina;Felidae;Viverridae;Caracal;Genetta;NA;2.203577106;10650;1175.84;Carnivore;Carnivore;Same_diet;30.387497;0.553477;0.553477;Africa;Uganda;Kibale National Park;Mills_2019;2;49;9738;0.7;NA
113;1;NA;Caracal aurata;Nandinia binotata;Felidae;Nandiniidae;Caracal;Nandinia;NA;1.59212388;10650;2167.2;Carnivore;Herbivore;Diff_diet;30.387497;0.553477;0.553477;Africa;Uganda;Kibale National Park;Mills_2019;2;49;9738;0.7;NA
114;0.42;0.04-1.04;Lynx pardinus;Felis silvestris;Felidae;Felidae;Lynx;Felis;0.09076219;0.708116364;10225;5036.54;Carnivore;Carnivore;Same_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
115;1.16;0.68-1.66;Meles meles;Felis silvestris;Mustelidae;Felidae;Meles;Felis;0.1788384;0.858476144;11884.03;5036.54;Omnivore;Carnivore;Diff_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
116;0.87;0.66-1.06;Vulpes vulpes;Felis silvestris;Canidae;Felidae;Vulpes;Felis;0.18241264;0.408833438;7580.3;5036.54;Carnivore;Carnivore;Same_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
117;1.22;0.88-1.53;Felis silvestris;Genetta genetta;Felidae;Viverridae;Felis;Genetta;0.14605559;0.992563244;5036.54;1866.67;Carnivore;Carnivore;Same_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
118;1.98;1.42-2.90;Herpestes ichneumon;Genetta genetta;Herpestidae;Viverridae;Herpestes;Genetta;NA;0.457652465;2950.01;1866.67;Omnivore;Carnivore;Diff_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
119;0.25;0.02-0.59;Lynx pardinus;Genetta genetta;Felidae;Viverridae;Lynx;Genetta;0.1434963;1.700679607;10225;1866.67;Carnivore;Carnivore;Same_diet;-6.23;39.99;39.99;Europe;Spain;Mon_general;Monterroso_2020;7;225;12458;1.5;327
